phrase_index,parent_concept,text,text_source,cui,umls_status
0,lung,lung,umls_synonym,C0024109,ok
1,lung,lungs,umls_synonym,C0024109,ok
2,lung,lung structure,umls_synonym,C0024109,ok
3,lung,lung structure (body structure),umls_synonym,C0024109,ok
4,lung,the lungs demonstrate normal vascular markings throughout the bilateral pulmonary fields.,llm_radiology_phrase,C0024109,ok
5,lung,clear lung fields with well defined peripheral vascular structures and bronchial markings.,llm_radiology_phrase,C0024109,ok
6,lung,normal lung parenchyma with symmetric aeration and preserved vascular branching patterns.,llm_radiology_phrase,C0024109,ok
7,lung,the lungs appear well expanded with normal radiolucency throughout both hemithoraces.,llm_radiology_phrase,C0024109,ok
8,lung,bilateral lung fields show normal density without focal consolidation or interstitial opacities.,llm_radiology_phrase,C0024109,ok
9,lung opacity,lung opacity,umls_synonym,C4728208,ok
10,lung opacity,ill-defined area of increased density noted within the right lower lung field.,llm_radiology_phrase,C4728208,ok
11,lung opacity,patchy opacification identified throughout the mid to lower zones of the lung.,llm_radiology_phrase,C4728208,ok
12,lung opacity,focal area of increased opacity observed in the left upper lung zone.,llm_radiology_phrase,C4728208,ok
13,lung opacity,homogeneous density obscuring the normal vascular markings in the right lung base.,llm_radiology_phrase,C4728208,ok
14,lung opacity,diffuse ground glass opacity noted throughout the bilateral lung fields on radiograph.,llm_radiology_phrase,C4728208,ok
15,cardiomegaly,cardiomegaly,umls_synonym,C0018800,ok
16,cardiomegaly,cardiomegaly (disorder),umls_synonym,C0018800,ok
17,cardiomegaly,"enlargement, heart",umls_synonym,C0018800,ok
18,cardiomegaly,enlarged heart,umls_synonym,C0018800,ok
19,cardiomegaly,heart enlargement,umls_synonym,C0018800,ok
20,cardiomegaly,"heart, enlarged",umls_synonym,C0018800,ok
21,cardiomegaly,the cardiac silhouette appears enlarged with increased transverse diameter on the frontal view.,llm_radiology_phrase,C0018800,ok
22,cardiomegaly,prominent cardiac contour noted with cardiomegaly extending beyond the normal mediastinal borders.,llm_radiology_phrase,C0018800,ok
23,cardiomegaly,the heart size is increased suggesting cardiomegaly with a widened cardiac silhouette.,llm_radiology_phrase,C0018800,ok
24,cardiomegaly,global enlargement of the cardiac silhouette is observed on the frontal chest radiograph.,llm_radiology_phrase,C0018800,ok
25,cardiomegaly,increased cardiothoracic ratio indicates cardiomegaly with a widened and prominent cardiac shadow.,llm_radiology_phrase,C0018800,ok
26,calcinosis,calcinosis,umls_synonym,C0006663,ok
27,calcinosis,calcinosis (disorder),umls_synonym,C0006663,ok
28,calcinosis,pathologic calcification,umls_synonym,C0006663,ok
29,calcinosis,extraskeletal calcification,umls_synonym,C0006663,ok
30,calcinosis,"calcification, pathologic",umls_synonym,C0006663,ok
31,calcinosis,calcinoses,umls_synonym,C0006663,ok
32,calcinosis,multiple punctate foci of increased density noted within the soft tissues.,llm_radiology_phrase,C0006663,ok
33,calcinosis,dense amorphous calcifications identified along the thoracic wall soft tissue planes.,llm_radiology_phrase,C0006663,ok
34,calcinosis,small irregular opacities consistent with dystrophic calcification seen in the chest wall.,llm_radiology_phrase,C0006663,ok
35,calcinosis,well defined dense nodular calcifications scattered throughout the subcutaneous soft tissues.,llm_radiology_phrase,C0006663,ok
36,calcinosis,linear areas of increased radiodensity observed within the extrapleural soft tissue layers.,llm_radiology_phrase,C0006663,ok
37,pulmonary atelectasis,pulmonary atelectasis,umls_synonym,C0004144,ok
38,pulmonary atelectasis,lung collapse,umls_synonym,C0004144,ok
39,pulmonary atelectasis,atelectases,umls_synonym,C0004144,ok
40,pulmonary atelectasis,pulmonary atelectases,umls_synonym,C0004144,ok
41,pulmonary atelectasis,under expanded lung,umls_synonym,C0004144,ok
42,pulmonary atelectasis,atelectasis,umls_synonym,C0004144,ok
43,pulmonary atelectasis,pulmonary collapse,umls_synonym,C0004144,ok
44,pulmonary atelectasis,collapse of lung,umls_synonym,C0004144,ok
45,pulmonary atelectasis,"collapse, lung",umls_synonym,C0004144,ok
46,pulmonary atelectasis,pulmonary collapse with atelectasis,umls_synonym,C0004144,ok
47,pulmonary atelectasis,"atelectases, pulmonary",umls_synonym,C0004144,ok
48,pulmonary atelectasis,"atelectasis, pulmonary",umls_synonym,C0004144,ok
49,pulmonary atelectasis,atelectasis (disorder),umls_synonym,C0004144,ok
50,pulmonary atelectasis,unexpanded lung,umls_synonym,C0004144,ok
51,pulmonary atelectasis,linear band-like opacities consistent with subsegmental atelectasis in the left lower lobe.,llm_radiology_phrase,C0004144,ok
52,pulmonary atelectasis,increased density with volume loss noted in the right middle lobe region.,llm_radiology_phrase,C0004144,ok
53,pulmonary atelectasis,focal area of increased opacity with associated volume loss in the lung base.,llm_radiology_phrase,C0004144,ok
54,pulmonary atelectasis,linear plate-like densities suggestive of discoid atelectasis within the right lower lung.,llm_radiology_phrase,C0004144,ok
